id,citing,citing_venue,cited,cited_venue,creation,is_citing_iris,is_cited_iris,flow
oci:062203523413-06602762566,omid:br/062203523413,Drug Discovery Today [issn:1359-6446 issn:1878-5832 openalex:S152068293 omid:br/064061255],omid:br/06602762566,,2023-02,True,False,Outgoing
oci:06302831810-062403505848,omid:br/06302831810,Physics Letters B [issn:0370-2693 openalex:S173952182 omid:br/0626059839],omid:br/062403505848,,2013-03,True,False,Outgoing
oci:06303941259-0612064258,omid:br/06303941259,Journal Of Refugee Studies [issn:0951-6328 issn:1471-6925 openalex:S80058157 omid:br/064041919],omid:br/0612064258,,2022-10-07,True,False,Outgoing
oci:06303941259-06120414343,omid:br/06303941259,Journal Of Refugee Studies [issn:0951-6328 issn:1471-6925 openalex:S80058157 omid:br/064041919],omid:br/06120414343,,2022-10-07,True,False,Outgoing
oci:061301423648-0670510097,omid:br/061301423648,International Journal Of Molecular Sciences [doi:10.3390/ijms issn:1422-0067 omid:br/066033829],omid:br/0670510097,,2020-10-28,False,True,Incoming
oci:061502445696-0690407339,omid:br/061502445696,Nuclear Physics B [issn:0550-3213 issn:1873-1562 openalex:S4210194812 omid:br/069057982],omid:br/0690407339,,2013-06,True,False,Outgoing
oci:062503537364-061701630963,omid:br/062503537364,Frontiers In Oncology [issn:2234-943X openalex:S2596394214 omid:br/061040149],omid:br/061701630963,,2022-10-06,False,True,Incoming
oci:061502445696-061403309397,omid:br/061502445696,Nuclear Physics B [issn:0550-3213 issn:1873-1562 openalex:S4210194812 omid:br/069057982],omid:br/061403309397,,2013-06,True,False,Outgoing
oci:06502065829-06502347571,omid:br/06502065829,Proceedings Of The 13Th International Conference On Theory And Practice Of Electronic Governance [omid:br/06502066798],omid:br/06502347571,,2020-09-23,False,True,Incoming
oci:06503967428-06250695303,omid:br/06503967428,Clinical Epigenetics [issn:1868-7075 issn:1868-7083 openalex:S200416800 omid:br/064046044],omid:br/06250695303,,2022-11-12,False,True,Incoming
oci:0680259074-061702622356,omid:br/0680259074,Annals Of Clinical Microbiology And Antimicrobials [issn:1476-0711 openalex:S14661945 omid:br/0680259928],omid:br/061702622356,,2022-06-30,False,True,Incoming
oci:062103515251-062101922381,omid:br/062103515251,Sensors [doi:10.3390/sensors issn:1424-8220 openalex:S101949793 omid:br/06408887],omid:br/062101922381,,2022-10-02,False,True,Incoming
oci:061403518537-06190411283,omid:br/061403518537,Molecules [issn:1420-3049 openalex:S108911230 omid:br/065030790],omid:br/06190411283,,2022-10-04,False,True,Incoming
oci:06401479598-061501920328,omid:br/06401479598,Physics-Uspekhi [issn:1063-7869 issn:1468-4780 openalex:S34028136 omid:br/0619037918],omid:br/061501920328,,2019-10-01,False,True,Incoming
oci:061903510280-06702392938,omid:br/061903510280,Journal FÃ¼r Die Reine Und Angewandte Mathematik (Crelles Journal) [issn:0075-4102 issn:1435-5345 openalex:S62223294 omid:br/0617053823],omid:br/06702392938,,2022-12-01,True,False,Outgoing
oci:06801784810-061802434630,omid:br/06801784810,Chinese Journal Of Physics [issn:0577-9073 openalex:S169735585 omid:br/0619043713],omid:br/061802434630,,2019-10,False,True,Incoming
oci:061103491826-061201903799,omid:br/061103491826,Trends In Mathematics [isbn:9783030875015 isbn:9783030875022 omid:br/061103492648],omid:br/061201903799,,2021-10-18,False,True,Incoming
oci:06703951393-062101773292,omid:br/06703951393,Physical Review B [issn:2469-9950 issn:2469-9969 openalex:S4210237713 omid:br/0619043761],omid:br/062101773292,,2022-10-06,False,True,Incoming
oci:06903459968-06802188749,omid:br/06903459968,Monthly Notices Of The Royal Astronomical Society [doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288 omid:br/067041753],omid:br/06802188749,,2022-06-28,True,False,Outgoing
oci:0690846116-06260195045,omid:br/0690846116,Molecular Psychiatry [issn:1359-4184 issn:1476-5578 openalex:S71149355 omid:br/0626025711],omid:br/06260195045,,2022-06-27,False,True,Incoming
oci:061303472734-061801808631,omid:br/061303472734,Astronomy & Astrophysics [issn:0004-6361 issn:1432-0746 openalex:S205231332 omid:br/064040455],omid:br/061801808631,,2022-10,False,True,Incoming
oci:061503534477-061801117263,omid:br/061503534477,International Journal Of Molecular Sciences [doi:10.3390/ijms issn:1422-0067 omid:br/066033829],omid:br/061801117263,,2022-11-29,True,False,Outgoing
oci:061503534477-06110329612,omid:br/061503534477,International Journal Of Molecular Sciences [doi:10.3390/ijms issn:1422-0067 omid:br/066033829],omid:br/06110329612,,2022-11-29,True,False,Outgoing
oci:06803959263-06101849504,omid:br/06803959263,Physical Review D [issn:2470-0010 issn:2470-0029 openalex:S4210238307 omid:br/062509685],omid:br/06101849504,,2022-11-30,False,True,Incoming
oci:06110996542-06170101256,omid:br/06110996542,Analytical Chemistry [issn:0003-2700 issn:1520-6882 openalex:S191963794 omid:br/065021405],omid:br/06170101256,,2020-04-21,True,False,Outgoing
oci:061502445696-06130393486,omid:br/061502445696,Nuclear Physics B [issn:0550-3213 issn:1873-1562 openalex:S4210194812 omid:br/069057982],omid:br/06130393486,,2013-06,True,False,Outgoing
oci:06160745863-061902104565,omid:br/06160745863,Zeitschrift FÃ¼r Angewandte Mathematik Und Physik [issn:0044-2275 issn:1420-9039 openalex:S34928686 omid:br/068016957],omid:br/061902104565,,2022-06-25,False,True,Incoming
oci:062201039833-062401778218,omid:br/062201039833,Journal Of The London Mathematical Society [issn:0024-6107 issn:1469-7750 openalex:S4210207695 omid:br/0624021906],omid:br/062401778218,,2022-06-24,True,False,Outgoing
oci:06190251986-061301531800,omid:br/06190251986,Journal Of Molecular Structure [issn:0022-2860 openalex:S203479135 omid:br/062104023],omid:br/061301531800,,2019-10,False,True,Incoming
oci:062203523413-061402678253,omid:br/062203523413,Drug Discovery Today [issn:1359-6446 issn:1878-5832 openalex:S152068293 omid:br/064061255],omid:br/061402678253,,2023-02,True,False,Outgoing
